id,language,market,code,name,name_grohe,icon,icon_formula
141,de,DE,DE0,Bronze,Brushed Crafted Warm Sunset,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/DL0.png,
142,de,DE,PF0,Chrome,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/000.png,
143,de,DE,GF0,Gold,Brushed Crafted Cool Sunrise,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/GN0.png,
144,de,DE,CC0,,ARANJA  DEAD,,
145,de,DE,YY0,,EUROBRASS  MATTE,,
146,de,DE,XR0,,WHITE LEATHER,,
147,de,DE,FD0,,SILVMET. MATTE/ROSE. ORCHIDEE,,
148,de,DE,BM0,,Vanilla Noir Caesarstone,,
149,de,DE,SI0,,NOBLE WHITE,,
150,de,DE,5M0,,YELLOW,,
151,de,DE,FB0,,SILVMET. MATTE/TURQU. MALDIVE,,
152,de,DE,S00,,AQUAMARINE  BLUE,,
153,de,DE,AU0,,Caesar stone black marble,,
154,de,DE,BN0,,White Attica Caesarstone,,
155,de,DE,XD0,,DAY TIME GRAY RAL 2208005,,
156,de,DE,SV0,,NATURA,,
157,de,DE,SN0,,SUNSET,,
158,de,DE,GF0,,BRUSHED CRAFTED COOL SUNRISE,,
159,de,DE,SU0,,FLANELL,,
160,de,DE,RS0,,CHROME VELOUR / BLACK SOFTF.,,
161,de,DE,SK0,,JASMIN,,
162,de,DE,FC0,,SILVMET. MATTE/AQUA. LAZUR,,
163,de,DE,SR0,,CALYPSO,,
164,de,DE,SM0,,STELLA,,
165,de,DE,UE0,,CLASSIC WHITE,,
166,de,DE,ST0,,AEGEAN,,
167,de,DE,ED0,,SAPHIR BLUE RAL5003HR,,
168,de,DE,UZ0,,GREENWICH,,
169,de,DE,PG0,,MATTE CHROME / GOLD,,
170,de,DE,UC0,,STARWHITE,,
171,de,DE,4F0,,BLUE,,
172,de,DE,PB0,,MATTECHROME / DARK GRAY,,
173,de,DE,IZ0,,CHROME / EUROBRASS,,
174,de,DE,MV0,,Caesar stone white marble,,
175,de,DE,SW0,,MOSS GREEN,,
176,de,DE,GA0,,GOLD / MATTEGOLD,,
177,de,DE,FF0,,TURQUOISE,,
178,de,DE,HT0,,ASH OLIVE,,
179,de,DE,MM0,,ROSE PERL,,
180,de,DE,HS0,,AMERICAN CHERRY,,
181,de,DE,EE0,,GRAY BROWN,,
182,de,DE,CG0,,ARANJA MATTE / GOLD,,
183,de,DE,KD0,,ST.STEEL/BLACK  SOFTFEELING,,
184,de,DE,YA0,,EUROBRASS  MATTE / EUROBRASS,,
185,de,DE,BD0,,DAVINCI SATIN WHITE,,
186,de,DE,PD0,,POLISHED STAINLESS STEEL,,
187,de,DE,XP0,,KASCHMIRBEIGE LEATHER,,
