sku,included_1,included_2,included_3,included_4,included_5,included_6,included_7,included_8,included_9,included_10,not_included_1,not_included_2,not_included_3,not_included_4,not_included_5,not_included_6,not_included_7,not_included_8,not_included_9,not_included_10,language,market
19682L00,,,,,,,,,,,,,,,,,,,,,de,DE
19684IG0,,,,,,,,,,,,,,,,,,,,,de,DE
19820000,,,,,,,,,,,,,,,,,,,,,de,DE
19864AG0,,,,,,,,,,,,,,,,,,,,,de,DE
19900RR0,,,,,,,,,,,,,,,,,,,,,de,DE
19910000,,,,,,,,,,,,,,,,,,,,,de,DE
19941000,,,,,,,,,,,,,,,,,,,,,de,DE
19942IG0,,,,,,,,,,,,,,,,,,,,,de,DE
19952LG0,,,,,,,,,,,,,,,,,,,,,de,DE
19976001,,,,,,,,,,,,,,,,,,,,,de,DE
30208000,,,,,,,,,,,,,,,,,,,,,de,DE
30311DC0,,,,,,,,,,,,,,,,,,,,,de,DE
30832000,,,,,,,,,,,,,,,,,,,,,de,DE
20653IG0,,,,,,,,,,,,,,,,,,,,,de,DE
31346000,,,,,,,,,,,,,,,,,,,,,de,DE
21026000,,,,,,,,,,,,,,,,,,,,,de,DE
31382DC0,,,,,,,,,,,,,,,,,,,,,de,DE
21105000,,,,,,,,,,,,,,,,,,,,,de,DE
21375001,,,,,,,,,,,,,,,,,,,,,de,DE
21390000,,,,,,,,,,,,,,,,,,,,,de,DE
22900IB0,,,,,,,,,,,,,,,,,,,,,de,DE
22902LG0,,,,,,,,,,,,,,,,,,,,,de,DE
32103000,,,,,,,,,,,,,,,,,,,,,de,DE
22920BE0,,,,,,,,,,,,,,,,,,,,,de,DE
23043002,,,,,,,,,,,,,,,,,,,,,de,DE
32184KS0,,,,,,,,,,,,,,,,,,,,,de,DE
23064LS0,,,,,,,,,,,,,,,,,,,,,de,DE
23203000,,,,,,,,,,,,,,,,,,,,,de,DE
32248000,,,,,,,,,,,,,,,,,,,,,de,DE
32287000,,,,,,,,,,,,,,,,,,,,,de,DE
32296SD0,,,,,,,,,,,,,,,,,,,,,de,DE
32303RR0,,,,,,,,,,,,,,,,,,,,,de,DE
32322000,,,,,,,,,,,,,,,,,,,,,de,DE
2339410E,,,,,,,,,,,,,,,,,,,,,de,DE
32401000,,,,,,,,,,,,,,,,,,,,,de,DE
23430LS0,,,,,,,,,,,,,,,,,,,,,de,DE
32458BE0,,,,,,,,,,,,,,,,,,,,,de,DE
23554001,,,,,,,,,,,,,,,,,,,,,de,DE
32670000,,,,,,,,,,,,,,,,,,,,,de,DE
32706000,,,,,,,,,,,,,,,,,,,,,de,DE
32796000,,,,,,,,,,,,,,,,,,,,,de,DE
32918RR0,,,,,,,,,,,,,,,,,,,,,de,DE
32950000,,,,,,,,,,,,,,,,,,,,,de,DE
32993001,,,,,,,,,,,,,,,,,,,,,de,DE
33029T00,,,,,,,,,,,,,,,,,,,,,de,DE
25551Z00,,,,,,,,,,,,,,,,,,,,,de,DE
33060G00,,,,,,,,,,,,,,,,,,,,,de,DE
25620G00,,,,,,,,,,,,,,,,,,,,,de,DE
25650IG0,,,,,,,,,,,,,,,,,,,,,de,DE
33154000,,,,,,,,,,,,,,,,,,,,,de,DE
33180MF0,,,,,,,,,,,,,,,,,,,,,de,DE
33200000,,,,,,,,,,,,,,,,,,,,,de,DE
26062000,,,,,,,,,,,,,,,,,,,,,de,DE
26108000,,,,,,,,,,,,,,,,,,,,,de,DE
33237L00,,,,,,,,,,,,,,,,,,,,,de,DE
26174LS0,,,,,,,,,,,,,,,,,,,,,de,DE
33268000,,,,,,,,,,,,,,,,,,,,,de,DE
33281001,,,,,,,,,,,,,,,,,,,,,de,DE
33349000,,,,,,,,,,,,,,,,,,,,,de,DE
33383000,,,,,,,,,,,,,,,,,,,,,de,DE
33442000,,,,,,,,,,,,,,,,,,,,,de,DE
33504000,,,,,,,,,,,,,,,,,,,,,de,DE
33510IG0,,,,,,,,,,,,,,,,,,,,,de,DE
3355720E,,,,,,,,,,,,,,,,,,,,,de,DE
33561002,,,,,,,,,,,,,,,,,,,,,de,DE
33592002,,,,,,,,,,,,,,,,,,,,,de,DE
33598000,,,,,,,,,,,,,,,,,,,,,de,DE
27242000,,,,,,,,,,,,,,,,,,,,,de,DE
27273000,,,,,,,,,,,,,,,,,,,,,de,DE
27297000,,,,,,,,,,,,,,,,,,,,,de,DE
27356000,,,,,,,,,,,,,,,,,,,,,de,DE
27375000,,,,,,,,,,,,,,,,,,,,,de,DE
33707SD0,,,,,,,,,,,,,,,,,,,,,de,DE
